2026-03-12 07:30:36,291 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:30:45,311 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:45,311 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:46,844 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:30:55,863 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:55,863 | INFO | __main__ | sentinel.py:86 | Descargando datos para NZD/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:57,345 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:06,353 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:31:06,354 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CAD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:31:07,747 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:16,756 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:31:16,756 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CHF de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:31:18,438 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:27,446 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:31:27,446 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/JPY de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:31:29,132 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:38,157 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:31:38,158 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/MXN de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:31:39,841 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:48,851 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:31:48,851 | INFO | __main__ | sentinel.py:86 | Descargando datos para XAU/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:31:50,290 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:59,299 | INFO | __main__ | sentinel.py:645 | ✅ Ciclo completado. Esperando próxima vela...
2026-03-12 07:31:59,299 | INFO | scheduler.autoScheduler | autoScheduler.py:78 | ⏳ Sincronizando: Próximo escaneo en 13m 3s
2026-03-12 07:45:02,141 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 07:45:02 -------------------


2026-03-12 07:45:02,171 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 07:45:02,178 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:45:02,178 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:45:03,750 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:45:12,759 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:45:12,759 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:45:14,067 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:45:23,074 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:45:23,074 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:45:24,341 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:45:33,347 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:45:33,347 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:45:34,501 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:45:43,509 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:45:43,509 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:45:44,663 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:45:53,670 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:45:53,670 | INFO | __main__ | sentinel.py:86 | Descargando datos para NZD/USD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:45:54,785 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:46:03,793 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:46:03,793 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CAD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:46:04,914 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:46:13,922 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:46:13,922 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CHF de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:46:15,132 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:46:24,140 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:46:24,140 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/JPY de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:46:25,399 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:46:34,406 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:46:34,406 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/MXN de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:46:35,851 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:46:44,858 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:46:44,858 | INFO | __main__ | sentinel.py:86 | Descargando datos para XAU/USD de la cuenta SEBASTIAN (2) con temporalidad 15min
2026-03-12 07:46:45,995 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:46:54,996 | INFO | __main__ | sentinel.py:645 | ✅ Ciclo completado. Esperando próxima vela...
2026-03-12 07:46:54,996 | INFO | scheduler.autoScheduler | autoScheduler.py:78 | ⏳ Sincronizando: Próximo escaneo en 13m 8s
2026-03-12 08:00:02,952 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 08:00:02 -------------------


2026-03-12 08:00:18,601 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 08:00:18,608 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:00:18,608 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta JAIME (0) con temporalidad 15min
